?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Carpen,Foioase,Ca,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Carpen,Foioase,Ca,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Carpen,Foioase,Ca,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Carpen,Foioase,Ca,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Cer (L),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Cer (L),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Cer (L),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Cer (L),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Cer (L),Foioase,Ce,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Cer (L),Foioase,Ce,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Cer (S),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Cer (S),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Cer (S),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Cer (S),Foioase,Ce,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Cer (S),Foioase,Ce,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Cer (S),Foioase,Ce,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Cires,Foioase,Ci,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,550.0
Cires,Foioase,Ci,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,500.0
Cires,Foioase,Ci,LEMN ROTUND,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Cires,Foioase,Ci,LEMN ROTUND,Ci Pa Fr Sb Nu,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Cires,Foioase,Ci,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Cires,Foioase,Ci,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Corcodus,Foioase,Cd,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Corcodus,Foioase,Cd,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Corcodus,Foioase,Cd,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Corcodus,Foioase,Cd,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Corcodus,Foioase,Cd,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Corcodus,Foioase,Cd,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Dud,Foioase,Dd,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Dud,Foioase,Dd,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Dud,Foioase,Dd,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Dud,Foioase,Dd,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Dud,Foioase,Dd,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Dud,Foioase,Dd,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
